klo	k	kup	kwlo	kw	kwup
j3_j1	-0.0182597798615924	0.0791180285343709	0.176495836930334	0.348356260872093	0.496241184220724	0.644126107569354
j3_j2	0.139896723826161	0.264393832225209	0.388890940624256	0.310847173819463	0.505562422744129	0.700277671668794
j3_j4	-0.0325805388578231	0.0806519013790222	0.193884341615867	0.157912656562634	0.343224343224343	0.528536029886051
j3_j5	0.314051760996017	0.449035812672176	0.584019864348336	0.529923133094365	0.658299382310422	0.786675631526478
j3_j6	0.0409652771521103	0.151643690349947	0.262322103547784	0.39596175826689	0.557313742111708	0.718665725956525
j3_j7	0.0201588197518403	0.112966344899557	0.205773870047273	0.293747248191135	0.429282526604874	0.564817805018614
j3_j8	-0.0486358985567865	0.0588235294117647	0.166282957380316	0.257580029698941	0.434805467928496	0.612030906158051
j3_j9	0.0243429727695671	0.128285193858964	0.232227414948361	0.43088098465272	0.552869090005796	0.674857195358872
j3_j10	-0.091649217798237	-0.0227137590676656	0.0462216996629058	0.316355182972546	0.443341370018437	0.570327557064328
j3_j11	-0.0764559930002357	0.0397996103534651	0.156055213707166	0.127737840391725	0.296213253612357	0.464688666832989
j3_j12	0.0339970537199035	0.145186743819043	0.256376433918182	0.317684360452765	0.467945922372437	0.61820748429211
j3_j13	0.00391991267739501	0.118387909319899	0.232855905962404	0.062515251586603	0.248641775517281	0.434768299447959
j3_j14	0.0745174053611098	0.185667752442997	0.296818099524884	0.4333449973714	0.542829643888354	0.652314290405308
j3_j15	0.136075446829308	0.26166568222091	0.387255917612511	0.483501292047195	0.618204031765424	0.752906771483654
j3_j16	-0.0351549091554237	0.0554312701963709	0.146017449548165	0.360081717580571	0.493359944730176	0.62663817187978
j3_j17	0.352341201613579	0.493029150823828	0.633717100034077	0.728611847085961	0.807807807807808	0.887003768529654
j3_j18	-0.0646668717185338	0.0400216333153056	0.144710138349145	0.196333378348176	0.349381912817176	0.502430447286175
j3_j19	0.155900739737855	0.282021826536473	0.408142913335092	0.571189177176127	0.682825222495739	0.794461267815352
j3_j20	0.107969277693632	0.227636567897767	0.347303858101902	0.51307869756991	0.626329405001438	0.739580112432965
j3_j21	-0.0244497109898152	0.0674579144967906	0.159365539983396	0.300554135574497	0.448634035287421	0.596713935000346
j3_j22	0.0998846564647677	0.227684538838556	0.355484421212345	0.369923041810052	0.53522763282983	0.700532223849608
j3_j23	0.576008290659474	0.692591454042422	0.809174617425371	0.80878069288052	0.874508948057617	0.940237203234713
j3_j24	0.176730533924082	0.305555555555556	0.434380577187029	0.298260908556649	0.468273661822049	0.638286415087449
j3_j25	0.0673368751832824	0.172912897389506	0.27848891959573	0.354893574447477	0.516869313149207	0.678845051850937
klo	k	kup	kwlo	kw	kwup
j4_j1	-0.0586780694867343	0.0735461801596351	0.205770429806004	0.264154627802915	0.443153205500677	0.62215178319844
j4_j2	0.105751210647857	0.233355749831876	0.360960289015896	0.3409607086653	0.496591089265895	0.65222146986649
j4_j3	-0.0325805388578231	0.0806519013790222	0.193884341615867	0.157912656562634	0.343224343224343	0.528536029886051
