klo	k	kup	kwlo	kw	kwup
j2_j13	0.0126905047166679	0.126226643366044	0.23976278201542	0.0588079519129882	0.236921945389353	0.415035938865718
j2_j14	0.0549217473642916	0.174960712414877	0.294999677465462	0.531121020900866	0.625905068382945	0.720689115865024
j2_j16	0.0429336566185513	0.154040404040404	0.265147151462257	0.487503663450002	0.600771841107193	0.714040018764384
j2_j18	0.0764670740282144	0.196840026333114	0.317212978638013	0.411370756491487	0.545909335796198	0.680447915100909
j2_j19	0.177848766187457	0.307911521237617	0.437974276287777	0.406454081483987	0.585766135395297	0.765078189306607
j2_j20	0.117679828555305	0.242321742659992	0.366963656764678	0.401008033378789	0.543963517081366	0.686919000783944
j2_j21	0.00776776757420837	0.107928131674834	0.208088495775459	0.30073953231056	0.441044216837372	0.581348901364185
j2_j22	0.0541208746796054	0.176163668817795	0.298206462955984	0.390943502083031	0.522113128855678	0.653282755628325
j2_j24	0.0698809898252731	0.198008849557522	0.326136709289771	0.338176524649929	0.500047165361758	0.661917806073586
j4_j5	0.0391038426225833	0.155761924862811	0.272420007103039	0.242997835838757	0.414433424773159	0.585869013707561
j4_j6	0.117635027772119	0.241135679706921	0.364636331641724	0.4392854392619	0.563473336479471	0.687661233697042
j4_j7	0.0338891454724781	0.166894291177274	0.29989943688207	0.433029489172132	0.552932761087267	0.672836033002403
j4_j8	0.0877115475961194	0.229011993146773	0.370312438697427	0.532606888633659	0.653202774377805	0.773798660121952
j4_j9	0.0107885520862146	0.134141467963234	0.257494383840254	0.253427420309322	0.40540125824766	0.557375096185997
j4_j13	0.0543721464851401	0.155254063739921	0.256135980994701	0.0267284734085406	0.159184294627911	0.291640115847281
j4_j14	0.0751798858914329	0.212271973466003	0.349364061040574	0.426411748770989	0.561586638830898	0.696761528890807
j4_j15	0.120539811306174	0.263560402209319	0.406580993112463	0.446650807033723	0.586860137041515	0.727069467049307
j4_j16	-0.000201494489593446	0.12280701754386	0.245815529577313	0.414320845871071	0.555415843362673	0.696510840854274
j4_j18	-0.0483569455249502	0.0519529768676526	0.152262899260255	0.331501991750837	0.441142266442693	0.550782541134548
j4_j19	0.104106602742193	0.231929776436703	0.359752950131212	0.290961420809744	0.457810911555405	0.624660402301065
j4_j22	0.134594706856179	0.26955027212833	0.404505837400481	0.535393445467879	0.638512738122561	0.741632030777242
j4_j24	-0.069225338050749	0.0455413144259613	0.160307966902671	0.118858933264901	0.27723530538005	0.435611677495199
j4_j25	0.0391941727124768	0.14931437277806	0.259434572843643	0.299270853903602	0.434304288036004	0.569337722168406
j5_j6	-0.0508372457896208	0.0612846989405927	0.173406643670806	0.319155533857293	0.461546276541704	0.603937019226115
j5_j8	-0.0697693190870052	0.0377911030539673	0.14535152519494	0.348410635191461	0.477946916471506	0.607483197751552
j5_j9	-0.022152766418341	0.0783410138248848	0.178834794068111	0.312679154857003	0.454529196101225	0.596379237345447
